epoch 1/100, contrastive loss: 4.1025
epoch 2/100, contrastive loss: 3.9322
epoch 3/100, contrastive loss: 3.8260
epoch 4/100, contrastive loss: 3.7354
epoch 5/100, contrastive loss: 3.7536
epoch 6/100, contrastive loss: 3.6781
epoch 7/100, contrastive loss: 3.6023
epoch 8/100, contrastive loss: 3.5987
epoch 9/100, contrastive loss: 3.5937
epoch 10/100, contrastive loss: 3.5329
epoch 11/100, contrastive loss: 3.4641
epoch 12/100, contrastive loss: 3.4611
epoch 13/100, contrastive loss: 3.4475
epoch 14/100, contrastive loss: 3.4296
epoch 15/100, contrastive loss: 3.3981
epoch 16/100, contrastive loss: 3.3652
epoch 17/100, contrastive loss: 3.3531
epoch 18/100, contrastive loss: 3.3237
epoch 19/100, contrastive loss: 3.3280
epoch 20/100, contrastive loss: 3.3041
epoch 21/100, contrastive loss: 3.2716
epoch 22/100, contrastive loss: 3.2339
epoch 23/100, contrastive loss: 3.2495
epoch 24/100, contrastive loss: 3.2407
epoch 25/100, contrastive loss: 3.2280
epoch 26/100, contrastive loss: 3.1754
epoch 27/100, contrastive loss: 3.2100
epoch 28/100, contrastive loss: 3.2344
epoch 29/100, contrastive loss: 3.1824
epoch 30/100, contrastive loss: 3.2060
epoch 31/100, contrastive loss: 3.1592
epoch 32/100, contrastive loss: 3.1587
epoch 33/100, contrastive loss: 3.1668
epoch 34/100, contrastive loss: 3.1457
epoch 35/100, contrastive loss: 3.1489
epoch 36/100, contrastive loss: 3.1240
epoch 37/100, contrastive loss: 3.1571
epoch 38/100, contrastive loss: 3.1362
epoch 39/100, contrastive loss: 3.1473
epoch 40/100, contrastive loss: 3.1169
epoch 41/100, contrastive loss: 3.1232
epoch 42/100, contrastive loss: 3.0951
epoch 43/100, contrastive loss: 3.1256
epoch 44/100, contrastive loss: 3.1140
epoch 45/100, contrastive loss: 3.1103
epoch 46/100, contrastive loss: 3.1273
epoch 47/100, contrastive loss: 3.1065
epoch 48/100, contrastive loss: 3.1261
epoch 49/100, contrastive loss: 3.1161
epoch 50/100, contrastive loss: 3.1189
epoch 51/100, contrastive loss: 3.0928
epoch 52/100, contrastive loss: 3.1035
epoch 53/100, contrastive loss: 3.0825
epoch 54/100, contrastive loss: 3.1062
epoch 55/100, contrastive loss: 3.0818
epoch 56/100, contrastive loss: 3.0834
epoch 57/100, contrastive loss: 3.0729
epoch 58/100, contrastive loss: 3.0839
epoch 59/100, contrastive loss: 3.0804
epoch 60/100, contrastive loss: 3.0862
epoch 61/100, contrastive loss: 3.0887
epoch 62/100, contrastive loss: 3.0567
epoch 63/100, contrastive loss: 3.0582
epoch 64/100, contrastive loss: 3.0676
epoch 65/100, contrastive loss: 3.0508
epoch 66/100, contrastive loss: 3.0628
epoch 67/100, contrastive loss: 3.0616
epoch 68/100, contrastive loss: 3.0572
epoch 69/100, contrastive loss: 3.0624
epoch 70/100, contrastive loss: 3.0538
epoch 71/100, contrastive loss: 3.0577
epoch 72/100, contrastive loss: 3.0758
epoch 73/100, contrastive loss: 3.0330
epoch 74/100, contrastive loss: 3.0513
epoch 75/100, contrastive loss: 3.0313
epoch 76/100, contrastive loss: 3.0456
epoch 77/100, contrastive loss: 3.0485
epoch 78/100, contrastive loss: 3.0371
epoch 79/100, contrastive loss: 3.0231
epoch 80/100, contrastive loss: 3.0370
epoch 81/100, contrastive loss: 3.0460
epoch 82/100, contrastive loss: 3.0428
epoch 83/100, contrastive loss: 3.0503
epoch 84/100, contrastive loss: 3.0088
epoch 85/100, contrastive loss: 3.0013
epoch 86/100, contrastive loss: 3.0141
epoch 87/100, contrastive loss: 3.0093
epoch 88/100, contrastive loss: 3.0209
epoch 89/100, contrastive loss: 3.0163
epoch 90/100, contrastive loss: 3.0136
epoch 91/100, contrastive loss: 3.0075
epoch 92/100, contrastive loss: 2.9820
epoch 93/100, contrastive loss: 3.0013
epoch 94/100, contrastive loss: 3.0174
epoch 95/100, contrastive loss: 3.0030
epoch 96/100, contrastive loss: 2.9977
epoch 97/100, contrastive loss: 3.0132
epoch 98/100, contrastive loss: 2.9916
epoch 99/100, contrastive loss: 2.9989
epoch 100/100, contrastive loss: 2.9870
